organism_name,description
Styphnolobium japonicum,"Styphnolobium japonicum, Perennial tree native to East Asia. Commonly known as Japanese pagoda tree, it has compound leaves and clusters of fragrant flowers."
Vinca minor,"Vinca minor, Perennial herbaceous plant native to Europe. Commonly known as lesser periwinkle, it is used as a ground cover in landscaping."
Citrus cavaleriei,"Citrus cavaleriei, Perennial tree native to China. Commonly known as yuzu, it produces aromatic citrus fruits used in culinary applications."
Sonneratia alba,"Sonneratia alba, Perennial shrub or small tree native to Southeast Asia. Commonly known as mangrove apple, it is found in mangrove ecosystems."
Citrus hindsii,"Citrus hindsii, Perennial tree native to China. Commonly known as ponkan, it produces sweet citrus fruits."
Liriodendron chinense,"Liriodendron chinense, Perennial tree native to China. Commonly known as Chinese tulip tree, it has large, tulip-shaped flowers."
Papaver bracteatum,"Papaver bracteatum, Annual or biennial herbaceous plant native to Central Asia. Commonly known as Iranian poppy, it is grown for its ornamental flowers."
Murraya paniculata,"Murraya paniculata, Perennial shrub or small tree native to Southeast Asia. Commonly known as orange jasmine, it produces fragrant white flowers."
Metroxylon sagu,"Metroxylon sagu, Perennial tree native to Southeast Asia. Commonly known as sago palm, it is cultivated for its starchy pith used in food."
Solanum peruvianum,"Solanum peruvianum, Perennial herbaceous plant native to South America. Commonly known as Peruvian nightshade, it produces small, yellow fruits."
Carya cathayensis,"Carya cathayensis, Perennial tree native to China. Commonly known as Chinese hickory, it produces edible nuts."
Prosopis alba,"Prosopis alba, Perennial tree native to South America. Commonly known as white carob or algarrobo blanco, it produces sweet pods."
Cicer reticulatum,"Cicer reticulatum, Annual or biennial herbaceous plant native to Southeast Europe and Southwest Asia. Commonly known as chickpea, it is a major pulse crop."
Ilex paraguariensis,"Ilex paraguariensis, Perennial tree native to South America. Commonly known as yerba mate, its leaves are used to make a popular caffeinated beverage."
Rhazya stricta,"Rhazya stricta, Perennial shrub native to North Africa and Southwest Asia. Commonly known as Arabian rhazya, it has medicinal properties."
Citrullus colocynthis,"Citrullus colocynthis, Perennial vine native to the Mediterranean region, East Africa, and Asia. Commonly known as colocynth, it produces bitter fruits."
Malus baccata,"Malus baccata, Perennial tree native to East Asia. Commonly known as Siberian crabapple, it produces small, red or yellow fruits."
Juglans sigillata,"Juglans sigillata, Perennial tree native to China. Commonly known as Chinese walnut, it produces edible nuts."
Striga asiatica,"Striga asiatica, Annual herbaceous plant native to Asia. Commonly known as witchweed, it is a parasitic plant that can negatively impact crops."
Musa itinerans,"Musa itinerans, Perennial herbaceous plant native to Southeast Asia. Commonly known as edible banana, it produces large, sweet fruits."
Solanum pinnatisectum,"Solanum pinnatisectum, Perennial herbaceous plant native to South America. Commonly known as tamarillo or tree tomato, it produces egg-shaped fruits."
Vitis x labruscana x Vitis vinifera,"Vitis x labruscana x Vitis vinifera, Perennial vine hybrid. Commonly known as Concord grape, it is used for making grape juice and jelly."
Zoysia matrella,"Zoysia matrella, Perennial grass native to Southeast Asia. Commonly known as Manila grass, it is used as a turfgrass in warm climates."
Noccaea caerulescens,"Noccaea caerulescens, Perennial herbaceous plant native to Europe and Asia. Commonly known as alpine penny-cress, it is adapted to metalliferous soils."
Rosa multiflora,"Rosa multiflora, Perennial deciduous shrub native to East Asia. Commonly known as multiflora rose, it produces clusters of white flowers."
Nicotiana rustica,"Nicotiana rustica, Annual or short-lived perennial herbaceous plant native to South America. Commonly known as Aztec tobacco, it has high nicotine content."
Primula veris,"Primula veris, Perennial herbaceous plant native to Europe and Asia. Commonly known as cowslip, it produces clusters of yellow flowers."
Datura stramonium,"Datura stramonium, Annual or biennial herbaceous plant native to North America. Commonly known as jimsonweed, it produces trumpet-shaped white flowers."
Ipomoea purpurea,"Ipomoea purpurea, Annual or perennial vine native to the Americas. Commonly known as morning glory, it produces showy, funnel-shaped flowers."
Calendula officinalis,"Calendula officinalis, Annual or short-lived perennial herbaceous plant native to Southern Europe. Commonly known as pot marigold, it has bright orange or yellow flowers."
Barbarea vulgaris,"Barbarea vulgaris, Biennial herbaceous plant native to Europe and Asia. Commonly known as yellow rocket or winter cress, it is edible and has a mustard-like flavor."
Striga hermonthica,"Striga hermonthica, Annual herbaceous plant native to Africa. Commonly known as witchweed, it is a parasitic plant that can negatively impact crops."
Picea mariana,"Picea mariana, Perennial tree native to North America. Commonly known as black spruce, it is a coniferous tree with needle-like leaves."
Pachysandra terminalis,"Pachysandra terminalis, Perennial herbaceous plant native to East Asia. Commonly known as Japanese spurge, it is used as a ground cover in landscaping."
Solanum phureja,"Solanum phureja, Perennial herbaceous plant native to South America. Commonly known as Phureja potato, it is a cultivated potato species."
Arbutus unedo,"Arbutus unedo, Perennial tree native to the Mediterranean region, Western Europe, and Ireland. Commonly known as strawberry tree, it produces strawberry-like fruits."
Nepenthes alata,"Nepenthes alata, Perennial carnivorous vine native to Southeast Asia. Commonly known as tropical pitcher plant, it captures and digests insects for nutrients."
Monarda citriodora,"Monarda citriodora, Annual or perennial herbaceous plant native to North America. Commonly known as lemon bee balm, it has aromatic leaves and pink flowers."
Cymbopogon flexuosus,"Cymbopogon flexuosus, Perennial grass native to Southeast Asia. Commonly known as East Indian lemongrass, it is cultivated for its aromatic oil."
Cissus quadrangularis,"Cissus quadrangularis, Perennial succulent vine native to Asia and Africa. Commonly known as Veldt grape or devil's backbone, it has traditional medicinal uses."
Penstemon newberryi var. newberryi,"Penstemon newberryi var. newberryi, Perennial herbaceous plant native to North America. Commonly known as mountain pride, it produces tubular flowers."
Eruca vesicaria subsp. sativa,"Eruca vesicaria subsp. sativa, Annual herbaceous plant native to the Mediterranean region. Commonly known as arugula or rocket, it is used in salads."
Phaseolus coccineus subsp. coccineus,"Phaseolus coccineus subsp. coccineus, Annual or perennial vine native to South America. Commonly known as runner bean, it is grown for its edible pods."
Euphorbia pulcherrima,"Euphorbia pulcherrima, Perennial shrub native to Mexico. Commonly known as poinsettia, it is popular as a Christmas plant with colorful bracts."
Cornus florida,"Cornus florida, Perennial tree native to North America. Commonly known as flowering dogwood, it has showy bracts and is planted for ornamental purposes."
Zantedeschia hybrid cultivar,"Zantedeschia hybrid cultivar, Perennial herbaceous plant native to Southern Africa. Commonly known as calla lily, it is cultivated for its decorative flowers."
Hibiscus trionum,"Hibiscus trionum, Annual or short-lived perennial herbaceous plant native to Southern Europe and Asia. Commonly known as flower-of-an-hour, it has yellow flowers with a dark center."
Quercus parvula,"Quercus parvula, Perennial tree native to North America. Commonly known as Santa Cruz Island scrub oak, it is adapted to dry habitats."
Oxyria digyna,"Oxyria digyna, Perennial herbaceous plant native to the Arctic and alpine regions. Commonly known as mountain sorrel, it is edible and rich in vitamin C."
Prunus padus,"Prunus padus, Perennial tree native to Europe and Asia. Commonly known as bird cherry, it produces fragrant white flowers and small fruits."
Juglans californica,"Juglans californica, Perennial tree native to California. Commonly known as California black walnut, it produces edible nuts with a thick shell."
Petunia secreta,"Petunia secreta, Perennial herbaceous plant native to South America. Commonly known as petunia, it is popular for its trumpet-shaped flowers in various colors."
Linanthus parryae,"Linanthus parryae, Annual or perennial herbaceous plant native to North America. Commonly known as Parry's linanthus, it produces small, white to lavender flowers."
Aegle marmelos,"Aegle marmelos, Perennial tree native to India and Southeast Asia. Commonly known as bael or Bengal quince, it produces aromatic and medicinal fruits."
Neostapfia colusana,"Neostapfia colusana, Perennial herbaceous plant native to East Africa. Commonly known as colusana, it has traditional medicinal uses."
Rauvolfia tetraphylla,"Rauvolfia tetraphylla, Perennial shrub or small tree native to Southeast Asia. Commonly known as serpentine wood or devil pepper, it has traditional medicinal uses."
Arctostaphylos glauca,"Arctostaphylos glauca, Perennial shrub native to North America. Commonly known as bigberry manzanita, it has leathery leaves and red berries."
Quercus wislizeni,"Quercus wislizeni, Perennial tree native to North America. Commonly known as interior live oak, it has evergreen leaves and provides habitat for wildlife."
Aristolochia californica,"Aristolochia californica, Perennial vine native to California. Commonly known as California pipevine, it has distinctive flowers and is a larval host for pipevine swallowtail butterflies."
Talinum fruticosum,"Talinum fruticosum, Perennial herbaceous plant native to North and South America. Commonly known as fameflower or Jewels-of-Opar, it is cultivated for its ornamental value."
Rheum nobile,"Rheum nobile, Perennial herb native to the Himalayas. Commonly known as Sikkim rhubarb, it is used in traditional medicine."
Craterostigma plantagineum,"Craterostigma plantagineum, Perennial herb native to Africa. Commonly known as Egyptian resurrection plant, it can survive desiccation and revive with water."
Hirschfeldia incana,"Hirschfeldia incana, Annual or biennial herbaceous plant native to Eurasia. Commonly known as shortpod mustard, it is edible and used in culinary applications."
Zea luxurians,"Zea luxurians, Perennial grass native to Central America. Commonly known as teosinte, it is the wild ancestor of modern maize (corn)."
Cinchona pubescens,"Cinchona pubescens, Perennial tree native to South America. Commonly known as quinine tree, it is a source of quinine used to treat malaria."
Alnus rubra,"Alnus rubra, Perennial tree native to North America. Commonly known as red alder, it is a nitrogen-fixing tree with ecological importance."
Melaleuca alternifolia,"Melaleuca alternifolia, Perennial tree native to Australia. Commonly known as tea tree, its leaves are used to extract tea tree oil with antimicrobial properties."
Digitaria exilis,"Digitaria exilis, Annual grass native to West Africa. Also known as fonio, it is cultivated for its edible seeds."
Notholithocarpus densiflorus,"Notholithocarpus densiflorus, Evergreen tree native to North America. Commonly known as tanoak, it is valued for its timber."
Chamaecyparis obtusa,"Chamaecyparis obtusa, Evergreen tree native to Japan. Also known as Hinoki cypress, it is grown for its aromatic wood."
Prosopis cineraria,"Prosopis cineraria, Drought-tolerant tree native to South Asia and the Middle East. Also known as khejri, it provides various benefits."
Amorphophallus titanum,"Amorphophallus titanum, Herbaceous plant native to Sumatra. Known as titan arum or corpse flower, it produces the largest unbranched inflorescence."
Boechera retrofracta,"Boechera retrofracta, Perennial herb native to North America. A member of the mustard family, it is found in diverse habitats."
Citrus glauca,"Citrus glauca, Evergreen tree native to Australia. Also known as desert lime, it produces small, edible fruits."
Cynanchum wilfordii,"Cynanchum wilfordii, Perennial vine native to East Asia. Known for its traditional medicinal uses."
Berberis thunbergii,"Berberis thunbergii, Deciduous shrub native to Japan. Commonly known as Japanese barberry, it has red berries and is used in landscaping."
Lumnitzera littorea,"Lumnitzera littorea, Evergreen shrub or small tree native to Southeast Asia. It is found in mangrove habitats."
Puccinellia tenuiflora,"Puccinellia tenuiflora, Perennial grass native to Europe and Asia. Commonly known as slender bluegrass, it is adapted to saline environments."
Crucihimalaya himalaica,"Crucihimalaya himalaica, Perennial herb native to the Himalayas. It is part of the mustard family and is adapted to alpine conditions."
Magnolia officinalis,"Magnolia officinalis, Deciduous tree native to China. Commonly known as houpo magnolia, it has medicinal properties."
Boswellia sacra,"Boswellia sacra, Tree native to the Arabian Peninsula and northeastern Africa. Also known as frankincense tree, it produces aromatic resin."
Utricularia reniformis,"Utricularia reniformis, Carnivorous plant with a worldwide distribution. Known as kidney-leaved bladderwort, it captures small prey using specialized bladders."
Calamus simplicifolius,"Calamus simplicifolius, Climbing palm native to Southeast Asia. Commonly known as rattan, it is used for various purposes, including furniture."
Boesenbergia rotunda,"Boesenbergia rotunda, Perennial herb native to Southeast Asia. Commonly known as fingerroot, it is used in traditional medicine and cuisine."
Cephalotus follicularis,"Cephalotus follicularis, Carnivorous plant native to southwestern Australia. Known as Albany pitcher plant, it traps insects in specialized pitcher-like leaves."
Sapria himalayana,"Sapria himalayana, Mycoheterotrophic plant native to Southeast Asia. Lacks chlorophyll and relies on fungi for nutrients."
Piper betle,"Piper betle, Perennial vine native to Southeast Asia. Known as betel, its leaves are used for chewing in some cultures."
Suaeda aralocaspica,"Suaeda aralocaspica, Perennial herb native to Central Asia. Commonly found in saline habitats."
Prunella vulgaris,"Prunella vulgaris, Perennial herb native to Eurasia. Commonly known as self-heal, it has medicinal properties."
Apostasia ramifera,"Apostasia ramifera, Orchid native to Southeast Asia. Known for its distinctive branching inflorescence."
Sonneratia caseolaris,"Sonneratia caseolaris, Mangrove tree with a wide distribution in coastal areas. Known as mangrove apple, it has pneumatophores for air exchange in waterlogged soils."
Kalanchoe fedtschenkoi,"Kalanchoe fedtschenkoi, Perennial succulent native to Madagascar. Also known as lavender scallops, it has colorful foliage."
Macleaya cordata,"Macleaya cordata, Herbaceous perennial native to East Asia. Commonly known as plume poppy, it is cultivated for its ornamental value."
Juglans cathayensis,"Juglans cathayensis, Deciduous tree native to China. Commonly known as Chinese walnut, it produces edible nuts."
Nicotiana sylvestris,"Nicotiana sylvestris, Annual or perennial herb native to South America. Known for its large, fragrant flowers."
Tanacetum coccineum,"Tanacetum coccineum, Perennial herb native to the Caucasus. Commonly known as painted daisy, it is grown for its colorful flowers."
Nicotiana glauca,"Nicotiana glauca, Perennial shrub native to South America. Commonly known as tree tobacco, it has yellow tubular flowers."
Tripidium arundinaceum,"Tripidium arundinaceum, Perennial grass native to tropical Africa. Also known as African lovegrass, it is used for forage."
Phoenix roebelenii,"Phoenix roebelenii, Small palm native to Southeast Asia. Commonly known as pygmy date palm, it is popular in horticulture."
Oxalis stricta,"Oxalis stricta, Perennial herb native to North America. Also known as common yellow woodsorrel, it has clover-like leaves."
Picea engelmannii,"Picea engelmannii, Evergreen tree native to western North America. Known as Engelmann spruce, it is valued for its timber."
Dichanthelium oligosanthes,"Dichanthelium oligosanthes, Perennial grass native to North America. Commonly known as Scribner's panic grass, it is found in various habitats."
Vitis sp.,"Vitis sp., Genus of flowering plants including grapevines. Some species are cultivated for wine production."
Piper longum,"Piper longum, Perennial vine native to South Asia. Also known as Indian long pepper, it is used as a spice."
Nepenthes mirabilis,"Nepenthes mirabilis, Carnivorous plant native to Southeast Asia. Known as common swamp pitcher plant, it captures insects in pitcher-like traps."
Tinospora cordifolia,"Tinospora cordifolia, Perennial deciduous shrub native to the Indian subcontinent. Known for its medicinal properties."
Platanus orientalis,"Platanus orientalis, Deciduous tree native to southeast Europe and southwest Asia. Also known as oriental plane, it is valued for its shade."
Rubroshorea leprosula,"Rubroshorea leprosula, Evergreen tree native to Southeast Asia. Also known as meranti leprosula, it is a timber species."
Silybum marianum,"Silybum marianum, Annual or biennial plant native to the Mediterranean region. Commonly known as milk thistle, it has medicinal properties."
Drosophyllum lusitanicum,"Drosophyllum lusitanicum, Perennial carnivorous plant native to the western Mediterranean region. Known as dewy pine, it captures insects using mucilaginous glands."
Pittosporum tobira,"Pittosporum tobira, Evergreen shrub native to East Asia. Commonly known as Japanese cheesewood, it is grown for its ornamental value."
Solidago caesia,"Solidago caesia, Perennial herb native to North America. Commonly known as blue-stemmed goldenrod, it has yellow flowers."
Diplotaxis tenuifolia,"Diplotaxis tenuifolia, Annual or biennial herb native to Europe. Also known as perennial wall rocket, it is cultivated for its leaves."
Cymbopogon citratus,"Cymbopogon citratus, Perennial grass native to Southeast Asia. Commonly known as lemongrass, it is used in culinary and medicinal applications."
Euphorbia tirucalli,"Euphorbia tirucalli, Perennial succulent native to Africa. Also known as pencil tree, it has a distinctive growth form."
Argania spinosa,"Argania spinosa, Endemic tree native to Morocco. Commonly known as argan, it produces oil-rich seeds used in cosmetics and cooking."
Ficus religiosa,"Ficus religiosa, Deciduous tree native to the Indian subcontinent. Also known as sacred fig, it has religious significance."
Gypsophila paniculata,"Gypsophila paniculata, Perennial herb native to Eurasia. Commonly known as baby's breath, it is popular in floral arrangements."
Fraxinus velutina,"Fraxinus velutina, Deciduous tree native to North America. Also known as velvet ash, it is valued for its wood."
Iberis amara,"Iberis amara, Annual or biennial herb native to southern Europe. Commonly known as rocket candytuft, it has white flowers."
Silene noctiflora,"Silene noctiflora, Annual or biennial herb native to Europe. Commonly known as night-flowering catchfly, it blooms in the evening."
Monotropa hypopitys,"Monotropa hypopitys, Mycoheterotrophic plant native to temperate regions. Also known as Dutchman's pipe, it lacks chlorophyll and obtains nutrients from fungi."
Oenothera biennis,"Oenothera biennis, Biennial herb native to North America. Commonly known as common evening-primrose, it has yellow flowers."
Sanguinaria canadensis,"Sanguinaria canadensis, Perennial herb native to North America. Also known as bloodroot, it has distinctive sap and white flowers."
Agave americana,"Agave americana, Perennial succulent native to Mexico. Known as century plant, it has a rosette of spiky leaves."
Bletilla sinensis,"Bletilla sinensis, Perennial herb native to East Asia. Also known as Chinese ground orchid, it has attractive orchid flowers."
Agave fourcroydes,"Agave fourcroydes, Perennial succulent native to Mexico and Belize. Known as henequen, it is cultivated for fiber production."
Crambe hispanica,"Crambe hispanica, Annual or biennial herb native to the Mediterranean region. Commonly known as black cabbage or Tuscan kale, it is cultivated for its edible leaves."
Toxicodendron radicans,"Toxicodendron radicans, Perennial woody vine native to North America. Also known as poison ivy, it can cause allergic reactions in humans."
Nuphar advena subsp. advena,"Nuphar advena subsp. advena, Perennial aquatic plant native to North America. Commonly known as spatterdock, it has floating leaves and yellow flowers."
Ormosia semicastrata,"Ormosia semicastrata, Deciduous tree native to East Asia. Also known as yangleng, it produces hardwood used in construction."
Heritiera fomes,"Heritiera fomes, Mangrove tree native to the Indian subcontinent and Southeast Asia. Known as sundari, it is used for timber and traditional medicine."
Lumnitzera racemosa,"Lumnitzera racemosa, Mangrove tree with a wide distribution in tropical regions. Also known as white-flowered mangrove, it has ecological importance."
Umbellularia californica,"Umbellularia californica, Evergreen tree native to the western United States. Commonly known as California bay laurel, it has aromatic leaves."
Erythrophleum fordii,"Erythrophleum fordii, Deciduous tree native to East Asia. Also known as kuan, it is used in traditional medicine."
Quercus agrifolia,"Quercus agrifolia, Evergreen tree native to California. Commonly known as coast live oak, it provides habitat and acorns for wildlife."
Quercus berberidifolia,"Quercus berberidifolia, Evergreen shrub or small tree native to California. Also known as scrub oak, it is adapted to a Mediterranean climate."
Quercus tomentella,"Quercus tomentella, Evergreen tree native to California. Commonly known as island oak, it has leathery leaves."
Fremontodendron californicum,"Fremontodendron californicum, Evergreen shrub native to California. Commonly known as flannelbush, it has yellow flowers."
Solanum galapagense,"Solanum galapagense, Perennial shrub native to the Galápagos Islands. Also known as Galápagos nightshade, it is part of the unique island flora."
Mimosa pudica,"Mimosa pudica, Perennial herb native to South America. Also known as sensitive plant, it exhibits rapid leaf folding in response to touch."
Clausena lansium,"Clausena lansium, Evergreen tree native to Southeast Asia. Known as wampee, it produces edible fruits."
Rosa persica,"Rosa persica, Deciduous shrub native to southwestern Asia. Also known as Persian rose, it is cultivated for its fragrant flowers."
Rubus parviflorus,"Rubus parviflorus, Deciduous shrub native to North America. Commonly known as thimbleberry, it produces red berries."
Abrus precatorius,"Abrus precatorius, Perennial climbing plant native to tropical regions. Also known as rosary pea, it has toxic seeds."
Acacia melanoxylon,"Acacia melanoxylon, Evergreen tree native to southeastern Australia. Commonly known as Australian blackwood, it is valued for its timber."
Syzygium oleosum,"Syzygium oleosum, Evergreen tree native to Australia. Also known as blue lilly pilly, it produces edible fruits."
Puya raimondii,"Puya raimondii, Perennial bromeliad native to the Andes. Known as Queen of the Andes, it has the largest inflorescence in the bromeliad family."
Nemophila menziesii,"Nemophila menziesii, Annual herb native to western North America. Commonly known as baby blue eyes, it has delicate blue flowers."
Magnolia changhungtana,"Magnolia changhungtana, Deciduous tree native to Southeast Asia. Commonly known as champaca, it has fragrant flowers used in perfumery."
Heritiera littoralis,"Heritiera littoralis, Mangrove tree native to coastal regions of the Indian Ocean. Known as looking-glass mangrove, it has distinctive fruits."
Aquilegia eximia,"Aquilegia eximia, Perennial herb native to western North America. Also known as serpentine columbine, it has unique flowers."
Melastoma dodecandrum,"Melastoma dodecandrum, Evergreen shrub native to Southeast Asia. Commonly known as white-flowered melastoma, it has ornamental value."
Cuscuta australis,"Cuscuta australis, Parasitic plant with a wide distribution. Known as dodder, it lacks chlorophyll and relies on host plants for nutrients."
Citrus mangshanensis,"Citrus mangshanensis, Evergreen tree native to China. Also known as Mangshan wild mandarin, it produces small, sour fruits."
Eucalyptus pauciflora,"Eucalyptus pauciflora, Evergreen tree native to southeastern Australia. Commonly known as snow gum, it is adapted to alpine conditions."
Citrus hongheensis,"Citrus hongheensis, Evergreen tree native to China. Also known as Honghe wild mandarin, it has aromatic fruits."
Oropetium thomaeum,"Oropetium thomaeum, Perennial grass native to southern Africa. Known for its ability to revive after drought stress."
Kingdonia uniflora,"Kingdonia uniflora, Perennial herb native to China. Also known as Changnienia, it has a single, large, umbrella-like leaf."
Patellifolia procumbens,"Patellifolia procumbens, Perennial herb native to the Mediterranean region. Commonly known as trailing bindweed, it has white or pink flowers."
Nelumbo lutea,"Nelumbo lutea, Perennial aquatic plant native to North America. Commonly known as American lotus, it has large yellow flowers."
Prunus kanzakura,"Prunus kanzakura, Deciduous tree native to Japan. Also known as Kwanzan cherry, it has double-pink flowers."
Carex kokanica,"Carex kokanica, Perennial sedge native to Central Asia. Commonly found in alpine meadows."
Xerophyta viscosa,"Xerophyta viscosa, Perennial grass native to southern Africa. Known for its adaptations to arid conditions."
Carallia brachiata,"Carallia brachiata, Evergreen tree native to Southeast Asia. Commonly known as knobwood, it is used in traditional medicine."
Citrus inodora,"Citrus inodora, Evergreen tree native to Vietnam. Also known as Indo-Chinese wild mandarin, it produces small, aromatic fruits."
Solanum verrucosum,"Solanum verrucosum, Perennial herb native to South America. Commonly known as potato tree, it has attractive purple flowers."
Eragrostis nindensis,"Eragrostis nindensis, a species of grass native to Africa, characterized by its tufted growth and feathery flowerheads."
Populus davidiana x Populus alba var. pyramidalis,"Populus davidiana x Populus alba var. pyramidalis, a hybrid between David's Poplar and White Poplar with a distinctive pyramidal form."
Dalbergia oliveri,"Dalbergia oliveri, commonly known as the Oliver's Rosewood, a tropical tree prized for its valuable timber and ornamental value."
Bidens hawaiensis,"Bidens hawaiensis, a species of flowering plant endemic to Hawaii, known for its bright yellow flowers."
Zizania palustris,"Zizania palustris, the wild rice, a wetland grass that produces edible grains and plays a crucial role in various ecosystems."
Jaltomata sinuosa,"Jaltomata sinuosa, a flowering plant with sinuously lobed leaves, found in South America."
Stipa capillata,"Stipa capillata, a grass species known for its delicate, feathery flowerheads."
Campanula takesimana,"Campanula takesimana, a bellflower species native to Korea, admired for its bell-shaped flowers."
Datisca glomerata,"Datisca glomerata, commonly known as Durango root or False Hemp, a deciduous shrub with clustered flower spikes."
Trichopus zeylanicus subsp. travancoricus,"Trichopus zeylanicus subsp. travancoricus, a subspecies of the miracle fruit, native to the Western Ghats of India."
Xylocarpus granatum,"Xylocarpus granatum, a mangrove tree with pome-like fruits, found in coastal regions."
Bruguiera hainesii,"Bruguiera hainesii, a mangrove species known for its unique stilt roots and adaptation to saline environments."
Morus indica,"Morus indica, the Indian Mulberry or Saa fruit tree, cultivated for its sweet and nutritious berries."
Senecio squalidus,"Senecio squalidus, commonly known as Oxford Ragwort, a flowering plant with bright yellow flowers."
Bruguiera sexangula,"Bruguiera sexangula, a mangrove tree species with distinctive prop roots, found in tropical coastal areas."
Populus ilicifolia,"Populus ilicifolia, the evergreen holly-leaved poplar, recognized for its holly-like leaves."
Nymphaea thermarum,"Nymphaea thermarum, the smallest water lily species, native to Rwanda and critically endangered."
Alliaria petiolata,"Alliariapetiolata, commonly known as garlic mustard, an invasive herb with a garlic-like aroma."
Sedum album,"Sedum album, a low-growing succulent plant with white star-shaped flowers."
Gastrolobium villosum,"Gastrolobium villosum, a shrub native to Australia, known for its colorful flowers and toxic compounds."
Apostasia shenzhenica,"Apostasia shenzhenica, an orchid species discovered in Shenzhen, China."
Chenopodium pallidicaule,"Chenopodium pallidicaule, the Andean grain, a cultivated plant known for its nutritious seeds."
Ceriops zippeliana,"Ceriops zippeliana, a mangrove species with distinctive pneumatophores, found in Southeast Asia."
Solanum etuberosum,"Solanum etuberosum, the Tuber-bearing Nightshade, cultivated for its starchy tubers."
Brassica rapa x Raphanus sativus,"Brassica rapa x Raphanus sativus, a hybrid between turnip and radish, known for its edible roots."
Drosera capensis,"Drosera capensis, the Cape Sundew, a carnivorous plant with sticky tentacles to capture insects."
Trema orientale,"Trema orientale, a fast-growing tree species found in tropical regions."
Herrania umbratica,"Herrania umbratica, a tree native to South America, valued for its timber."
Gnetum montanum,"Gnetum montanum, a climbing plant found in tropical rainforests, related to gymnosperms."
Nicotiana obtusifolia,"Nicotiana obtusifolia, the desert tobacco, a plant species native to North America."
Pterocarya stenoptera,"Pterocarya stenoptera, the Chinese Wingnut, known for its winged fruits."
Nicotiana tomentosiformis,"Nicotiana tomentosiformis, a wild tobacco species with hairy leaves, native to South America."
Dioscorea sansibarensis,"Dioscorea sansibarensis, a yam species native to Africa, cultivated for its starchy tubers."
Vitis rupestris,"Vitis rupestris, the sand grape, a grapevine species adapted to rocky habitats."
Eucalyptus polybractea,"Eucalyptus polybractea, the blue mallee, a species of eucalyptus valued for its essential oil."
Ceriops decandra,"Ceriops decandra, a mangrove species with arching prop roots, found in tropical coastal areas."
Nicotiana undulata,"Nicotiana undulata, the wild tobacco, native to South America."
Vitis labrusca,"Vitis labrusca, the fox grape, known for its distinctive flavors and used in grape breeding."
Glycine tomentella,"Glycine tomentella, a wild soybean species found in North America."
Psidium friedrichsthalianum,"Psidium friedrichsthalianum, the Costa Rican guava, a tropical fruit tree."
Solanum okadae,"Solanum okadae, a species of nightshade native to Japan."
Solanum clarkiae,"Solanum clarkiae, a flowering plant species found in the Philippines."
Aquilaria agallochum,"Aquilaria agallochum, the agarwood tree, valued for its aromatic resin."
Asparagus kiusianus,"Asparagus kiusianus, a species of wild asparagus native to Japan."
Pontederia paniculata,"Pontederia paniculata, the pickerelweed, a aquatic plant with spikes of violet-blue flowers."
Leavenworthia alabamica,"Leavenworthia alabamica, the Alabama gladecress, a small flowering plant."
Oenanthe javanica,"Oenanthe javanica, the water dropwort, a wetland plant with edible stems."
Sisymbrium irio,"Sisymbrium irio, the London rocket, a weedy plant with yellow flowers."
Pachyrhizus erosus,"Pachyrhizus erosus, the jicama, a leguminous vine cultivated for its edible tuberous roots."
Nicotiana otophora,"Nicotiana otophora, a wild tobacco species native to South America."
Solanum sejunctum,"Solanum sejunctum, the divaricate nightshade, a shrub with purple flowers."
Embelia ribes,"Embelia ribes, the false black pepper, a woody climbing plant."
Flaveria bidentis,"Flaveria bidentis, the yellowtop, a flowering plant in the sunflower family."
Cardamine resedifolia,"Cardamine resedifolia, the coralroot bittercress, a flowering plant with pinnate leaves."
Rosa x damascena,"Rosa x damascena, the Damask rose, valued for its fragrant flowers used in perfumes."
Genlisea aurea,"Genlisea aurea, the golden corkscrew plant, a carnivorous plant with tubular leaves."
Lobelia cardinalis,"Lobelia cardinalis, the cardinal flower, known for its vibrant red flowers."
Fraxinus americana,"Fraxinus americana, the white ash, a deciduous tree native to North America."
Quercus phellos,"Quercus phellos, the willow oak, recognized for its slender, willow-like leaves."
Erythroxylum bequaertii,"Erythroxylum bequaertii, a species of coca plant found in tropical Africa."
Cornus kousa,"Cornus kousa, the kousa dogwood, a flowering tree native to East Asia."
Pyracantha coccinea,"Pyracantha coccinea, the firethorn, a shrub with bright red berries."
Silene uniflora,"Silene uniflora, the sea campion, a coastal plant with white flowers."
Verbascum thapsus,"Verbascum thapsus, the common mullein, a tall biennial plant with fuzzy leaves."
Mallotus japonicus,"Mallotus japonicus, the Japanese mallotus, a deciduous tree with red fruits."
Ajuga reptans,"Ajuga reptans, the bugleweed, a ground cover plant with blue flowers."
Telfairia occidentalis,"Telfairia occidentalis, the fluted pumpkin, a vine cultivated for its edible leaves and seeds."
Ulmus americana,"Ulmus americana, the American elm, a large deciduous tree with serrated leaves."
Cydonia oblonga,"Cydonia oblonga, the quince, a fruit tree with fragrant, pear-shaped fruits."
Vinca major,"Vinca major, the greater periwinkle, a trailing evergreen vine"
Lagerstroemia fauriei,"Lagerstroemia fauriei, the Japanese crape myrtle, known for its showy clusters of flowers."
Artocarpus camansi,"Artocarpus camansi, the breadnut, a tropical tree cultivated for its starchy fruits."
Aronia arbutifolia,"Aronia arbutifolia, the red chokeberry, a deciduous shrub with clusters of red berries."
